Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Huntington Disease,C0020179,STAT3,6774,P40763,signal transducer and activator of transcription 3,Nucleic acid binding,1193,0.32,0.923,1,0.03,,1,3,0,2015,2020
Huntington Disease,C0020179,TGM1,7051,P22735,transglutaminase 1,Enzyme,117,0.565,0.769,2.25E-13,0.03,,1,3,0,2002,2006
Huntington Disease,C0020179,PPP1R11,6992,O60927,protein phosphatase 1 regulatory inhibitor subunit 11,Enzyme modulator,66,0.604,0.731,0.35781,0.03,,1,3,0,1996,2017
Huntington Disease,C0020179,SLC18A2,6571,Q05940,solute carrier family 18 member A2,Transporter,150,0.554,0.769,0.075523,0.03,,1,3,0,2000,2018
Huntington Disease,C0020179,TAL1,6886,P17542,"TAL bHLH transcription factor 1, erythroid differentiation factor",Transcription factor,202,0.505,0.731,0.5659,0.03,,1,3,0,2007,2014
Huntington Disease,C0020179,UCHL1,7345,P09936,ubiquitin C-terminal hydrolase L1,Enzyme,260,0.482,0.885,0.99095,0.03,,1,3,2,2002,2009
Huntington Disease,C0020179,HDAC1,3065,Q13547,histone deacetylase 1,Epigenetic regulator,277,0.46,0.846,0.61427,0.03,,1,3,0,2008,2012
Huntington Disease,C0020179,ANGPT1,284,Q15389,angiopoietin 1,Signaling,340,0.446,0.808,0.95208,0.03,,1,3,0,2017,2019
Huntington Disease,C0020179,CCL5,6352,P13501,C-C motif chemokine ligand 5,Signaling,514,0.403,0.885,0.0017516,0.03,,1,3,0,2008,2017
Huntington Disease,C0020179,BRCA1,672,P38398,BRCA1 DNA repair associated,Enzyme,747,0.367,0.923,9.22E-29,0.03,,1,3,0,2006,2012
Huntington Disease,C0020179,GPT,2875,P24298,glutamic--pyruvic transaminase,Enzyme,511,0.403,0.923,3.59E-19,0.03,,0.667,3,0,1999,2015
Huntington Disease,C0020179,APP,351,P05067,amyloid beta precursor protein,Enzyme modulator,485,0.422,0.846,0.046544,0.03,,1,3,0,1993,2014
Huntington Disease,C0020179,BCL11B,64919,Q9C0K0,BAF chromatin remodeling complex subunit BCL11B,Transcription factor,123,0.568,0.731,0.98881,0.03,,1,3,0,2008,2019
Huntington Disease,C0020179,MLH1,4292,P40692,mutL homolog 1,Nucleic acid binding,526,0.399,0.808,3.41E-05,0.03,,1,3,0,2013,2017
Huntington Disease,C0020179,FUS,2521,P35637,FUS RNA binding protein,Nucleic acid binding,301,0.47,0.846,0.9993,0.03,,1,3,0,2010,2019
Huntington Disease,C0020179,LY6E,4061,Q16553,lymphocyte antigen 6 family member E,,115,0.563,0.808,0.3211,0.03,,1,3,0,1997,2012
Huntington Disease,C0020179,ATXN7,6314,O15265,ataxin 7,,162,0.581,0.654,0.9595,0.03,,1,3,0,2002,2018
Huntington Disease,C0020179,HYPK,25764,Q9NX55,huntingtin interacting protein K,,2,1,0.115,0.036644,0.03,,1,3,0,2008,2017
Huntington Disease,C0020179,CCL2,6347,P13500,C-C motif chemokine ligand 2,Signaling,1157,0.321,0.962,0.60786,0.03,,0.667,3,0,1995,2020
Huntington Disease,C0020179,KRT7,3855,P08729,keratin 7,,287,0.463,0.808,3.09E-12,0.03,,1,3,0,2007,2014
Huntington Disease,C0020179,TM7SF2,7108,O76062,transmembrane 7 superfamily member 2,Enzyme,217,0.486,0.808,1.37E-07,0.03,,1,3,0,2017,2019
Huntington Disease,C0020179,IDO1,3620,P14902,"indoleamine 2,3-dioxygenase 1",,295,0.454,0.846,3.30E-06,0.03,,0.667,3,1,2018,2019
Huntington Disease,C0020179,IL12A,3592,P29459,interleukin 12A,,261,0.491,0.808,0.04746,0.03,,1,3,1,2012,2017
Huntington Disease,C0020179,CXCL8,3576,P10145,C-X-C motif chemokine ligand 8,Signaling,1254,0.31,0.962,0.00027377,0.03,,1,3,0,2009,2016
Huntington Disease,C0020179,ACBD3,64746,Q9H3P7,acyl-CoA binding domain containing 3,,10,0.805,0.385,0.010653,0.03,,1,3,0,2013,2019
Huntington Disease,C0020179,SST,6750,P61278,somatostatin,Signaling,535,0.399,0.885,0.34128,0.03,,1,3,0,1996,2018
Huntington Disease,C0020179,CDKL1,8814,Q00532,cyclin dependent kinase like 1,Kinase,33,0.682,0.385,2.50E-07,0.03,,0.667,3,0,2013,2018
Huntington Disease,C0020179,CKB,1152,P12277,creatine kinase B,Kinase,73,0.608,0.615,0.2189,0.03,,1,3,0,2011,2013
Huntington Disease,C0020179,OPTN,10133,Q96CV9,optineurin,,136,0.548,0.808,5.91E-18,0.03,,1,3,0,2011,2019
Huntington Disease,C0020179,HDAC3,8841,O15379,histone deacetylase 3,Epigenetic regulator,179,0.511,0.731,0.56737,0.03,,1,3,0,2008,2017
Huntington Disease,C0020179,TSHZ1,10194,Q6ZSZ6,teashirt zinc finger homeobox 1,Transcription factor,99,0.569,0.731,0.9973,0.03,,1,3,0,1997,2019
Huntington Disease,C0020179,TCERG1,10915,O14776,transcription elongation regulator 1,Transcription factor,8,0.821,0.192,0.99996,0.03,,1,3,0,2003,2017
Huntington Disease,C0020179,DLG4,1742,P78352,discs large MAGUK scaffold protein 4,Receptor,91,0.595,0.654,0.99954,0.03,,1,3,0,2009,2017
Huntington Disease,C0020179,H3P30,115482700,,H3 histone pseudogene 30,,17,0.736,0.346,,0.03,,0.667,3,0,2013,2018
Huntington Disease,C0020179,EPHB2,2048,P29323,EPH receptor B2,Kinase,649,0.374,0.846,0.99997,0.03,,1,3,0,2012,2019
Huntington Disease,C0020179,NPEPPS,9520,P55786,aminopeptidase puromycin sensitive,Enzyme,172,0.519,0.808,1,0.03,,1,3,0,2007,2014
Huntington Disease,C0020179,CASP1,834,P29466,caspase 1,Enzyme,444,0.413,0.885,3.52E-05,0.03,,1,3,0,2000,2005
Huntington Disease,C0020179,ELK1,2002,P19419,ETS transcription factor ELK1,Transcription factor,114,0.537,0.692,0.93711,0.03,,1,3,0,2010,2019
Huntington Disease,C0020179,KCNH8,131096,Q96L42,potassium voltage-gated channel subfamily H member 8,Ion channel,62,0.603,0.654,2.29E-10,0.03,,1,3,0,2010,2019
Huntington Disease,C0020179,MTDH,92140,Q86UE4,metadherin,,200,0.491,0.769,0.32924,0.03,,1,3,0,2011,2019
Huntington Disease,C0020179,FAP,2191,Q12884,fibroblast activation protein alpha,Enzyme,216,0.496,0.808,1.90E-28,0.03,,1,3,0,1997,2019
Huntington Disease,C0020179,CHI3L1,1116,P36222,chitinase 3 like 1,,420,0.419,0.885,1.11E-05,0.03,,1,3,0,2018,2018
Huntington Disease,C0020179,PTPN5,84867,P54829,protein tyrosine phosphatase non-receptor type 5,,50,0.666,0.538,0.0014228,0.03,,1,3,0,2011,2018
Huntington Disease,C0020179,CACNA1A,773,O00555,calcium voltage-gated channel subunit alpha1 A,Ion channel,320,0.489,0.769,1,0.03,,1,3,0,2001,2008
Huntington Disease,C0020179,HIPK3,10114,Q9H422,homeodomain interacting protein kinase 3,Kinase,33,0.678,0.462,0.27733,0.03,,1,3,0,2017,2018
Huntington Disease,C0020179,AGER,177,Q15109,advanced glycosylation end-product specific receptor,Receptor,450,0.42,0.885,6.35E-16,0.03,,1,3,1,2007,2018
Huntington Disease,C0020179,CDK20,23552,Q8IZL9,cyclin dependent kinase 20,Kinase,34,0.682,0.462,5.95E-14,0.03,,0.667,3,0,2013,2018
Huntington Disease,C0020179,RGS2,5997,P41220,regulator of G protein signaling 2,Enzyme modulator,109,0.561,0.769,5.70E-06,0.02,,1,2,0,2011,2013
Huntington Disease,C0020179,UBXN11,91544,Q5T124,UBX domain protein 11,,41,0.659,0.538,1.40E-13,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,LPAR2,9170,Q9HBW0,lysophosphatidic acid receptor 2,G-protein coupled receptor,285,0.463,0.846,0.036658,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,GSTK1,373156,Q9Y2Q3,glutathione S-transferase kappa 1,,445,0.412,0.885,1.94E-06,0.02,,0.5,2,0,1999,2018
Huntington Disease,C0020179,TUSC2,11334,O75896,"tumor suppressor 2, mitochondrial calcium regulator",,111,0.556,0.846,0.7671,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,ITPR3,3710,Q14573,"inositol 1,4,5-trisphosphate receptor type 3",Ion channel,112,0.555,0.808,2.55E-22,0.02,,1,2,0,2009,2011
Huntington Disease,C0020179,TPPP,11076,O94811,tubulin polymerization promoting protein,Cellular structure,110,0.57,0.692,0.20334,0.02,,1,2,0,2008,2017
Huntington Disease,C0020179,PDAP1,11333,Q13442,PDGFA associated protein 1,,95,0.576,0.769,0.049626,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,ASAP2,8853,O43150,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",,85,0.585,0.731,0.99996,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,MIR10B,406903,,microRNA 10b,,167,0.509,0.808,,0.02,,0.5,2,0,2015,2015
Huntington Disease,C0020179,ENHO,375704,Q6UWT2,energy homeostasis associated,,71,0.599,0.769,0.10526,0.02,,1,2,1,2016,2019
Huntington Disease,C0020179,MIR132,406921,,microRNA 132,,222,0.485,0.846,,0.02,,0.5,2,0,2017,2018
Huntington Disease,C0020179,RXRA,6256,P19793,retinoid X receptor alpha,Nuclear receptor,132,0.543,0.769,0.99852,0.02,,1,2,1,2016,2019
Huntington Disease,C0020179,LRP2,4036,P98164,LDL receptor related protein 2,,254,0.491,0.846,0.99999,0.02,,0.5,2,0,2018,2019
Huntington Disease,C0020179,S100A12,6283,P80511,S100 calcium binding protein A12,Calcium-binding protein,221,0.488,0.846,0.48234,0.02,,1,2,0,2006,2017
Huntington Disease,C0020179,MIR155,406947,,microRNA 155,,584,0.384,0.885,,0.02,,1,2,0,2014,2017
Huntington Disease,C0020179,LGALS3,3958,P17931,galectin 3,Signaling,557,0.392,0.846,2.32E-05,0.02,,1,2,0,2019,2019
Huntington Disease,C0020179,SELENBP1,8991,Q13228,selenium binding protein 1,Immune response,214,0.493,0.846,3.23E-16,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,KALRN,8997,O60229,kalirin RhoGEF kinase,Kinase,59,0.644,0.654,1,0.02,,1,2,1,2012,2012
Huntington Disease,C0020179,ADCYAP1,116,P18509,adenylate cyclase activating polypeptide 1,Signaling,220,0.51,0.846,0.52424,0.02,,1,2,0,2018,2018
Huntington Disease,C0020179,GRIN3A,116443,Q8TCU5,glutamate ionotropic receptor NMDA type subunit 3A,Ion channel,24,0.743,0.423,0.45327,0.02,,1,2,0,2015,2018
Huntington Disease,C0020179,RAB11A,8766,P62491,"RAB11A, member RAS oncogene family",,82,0.601,0.692,0.99151,0.02,,1,2,0,2010,2014
Huntington Disease,C0020179,HSPD1,3329,P10809,heat shock protein family D (Hsp60) member 1,,398,0.432,0.808,0.99257,0.02,,1,2,0,2000,2019
Huntington Disease,C0020179,MFN2,9927,O95140,mitofusin 2,Enzyme,334,0.471,0.846,0.99415,0.02,,1,2,1,2011,2015
Huntington Disease,C0020179,APEX1,328,P27695,apurinic/apyrimidinic endodeoxyribonuclease 1,,305,0.458,0.846,1.92E-07,0.02,,1,2,0,1995,1998
Huntington Disease,C0020179,HP,3240,P00738,haptoglobin,Enzyme,464,0.412,0.885,1.74E-05,0.02,,1,2,0,2004,2010
Huntington Disease,C0020179,APAF1,317,O14727,apoptotic peptidase activating factor 1,,145,0.525,0.769,9.62E-06,0.02,,1,2,0,2005,2019
Huntington Disease,C0020179,HMOX1,3162,P09601,heme oxygenase 1,,666,0.381,0.923,0.0096817,0.02,,1,2,0,2013,2018
Huntington Disease,C0020179,KCNIP3,30818,Q9Y2W7,potassium voltage-gated channel interacting protein 3,Ion channel,60,0.626,0.654,0.037604,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,ADRA1A,148,P35348,adrenoceptor alpha 1A,G-protein coupled receptor,294,0.462,0.846,3.37E-07,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,UBQLN1,29979,Q9UMX0,ubiquilin 1,,49,0.65,0.423,0.99884,0.02,,1,2,0,2014,2015
Huntington Disease,C0020179,SOD2,6648,P04179,superoxide dismutase 2,Enzyme,668,0.379,0.923,0.15499,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,PSAT1,29968,Q9Y617,phosphoserine aminotransferase 1,,285,0.478,0.846,1.06E-08,0.02,,1,2,0,2007,2007
Huntington Disease,C0020179,GTF2H1,2965,P32780,general transcription factor IIH subunit 1,Transcription factor,258,0.469,0.846,0.98982,0.02,,1,2,0,2012,2015
Huntington Disease,C0020179,FAM193A,8603,P78312,family with sequence similarity 193 member A,,13,0.792,0.192,0.99993,0.02,,1,2,0,1998,2001
Huntington Disease,C0020179,HTR1A,3350,P08908,5-hydroxytryptamine receptor 1A,G-protein coupled receptor,229,0.522,0.846,0.19956,0.02,,1,2,0,2002,2007
Huntington Disease,C0020179,SHBG,6462,P04278,sex hormone binding globulin,,368,0.438,0.808,1.25E-06,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,CBS,875,P0DN79;P35520,cystathionine beta-synthase,Enzyme,295,0.465,0.885,3.08E-05,0.02,,1,2,0,1998,2004
Huntington Disease,C0020179,BECN1,8678,Q14457,beclin 1,Enzyme modulator,373,0.432,0.846,0.93717,0.02,,1,2,1,2006,2014
Huntington Disease,C0020179,KLK3,354,P07288,kallikrein related peptidase 3,Enzyme,358,0.443,0.885,4.43E-06,0.02,,1,2,0,2007,2007
Huntington Disease,C0020179,APRT,353,P07741,adenine phosphoribosyltransferase,,384,0.423,0.846,5.45E-13,0.02,,1,2,0,2010,2012
Huntington Disease,C0020179,SLCO6A1,133482,Q86UG4,solute carrier organic anion transporter family member 6A1,Transporter,449,0.412,0.885,2.88E-11,0.02,,0.5,2,0,1999,2018
Huntington Disease,C0020179,IFNG,3458,P01579,interferon gamma,,1519,0.288,0.962,0.47156,0.02,,1,2,0,2013,2018
Huntington Disease,C0020179,CP,1356,P00450,ceruloplasmin,Enzyme,283,0.466,0.846,4.20E-10,0.02,,1,2,0,2003,2008
Huntington Disease,C0020179,IFNA2,3440,P01563,interferon alpha 2,,355,0.442,0.885,,0.02,,1,2,0,1995,2008
Huntington Disease,C0020179,SLC1A1,6505,P43005,solute carrier family 1 member 1,Transporter,122,0.561,0.654,8.69E-06,0.02,,1,2,0,2002,2010
Huntington Disease,C0020179,IAPP,3375,P10997,islet amyloid polypeptide,Signaling,183,0.507,0.808,0.0031814,0.02,,1,2,0,2005,2011
Huntington Disease,C0020179,SLC2A1,6513,P11166,solute carrier family 2 member 1,Transporter,687,0.388,0.808,0.9941,0.02,,1,2,0,2014,2018
Huntington Disease,C0020179,CCN2,1490,P29279,cellular communication network factor 2,Signaling,518,0.399,0.846,0.00050202,0.02,,1,2,0,2010,2019
Huntington Disease,C0020179,ADA,100,P00813,adenosine deaminase,Enzyme,379,0.44,0.885,2.88E-12,0.02,,1,2,0,1997,2018
Huntington Disease,C0020179,FIS1,51024,Q9Y3D6,"fission, mitochondrial 1",,40,0.663,0.769,1.30E-05,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,ASAP1,50807,Q9ULH1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",,112,0.556,0.808,1,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,REG3A,5068,Q06141,regenerating family member 3 alpha,,148,0.522,0.769,0.00062895,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,SERPINE1,5054,P05121,serpin family E member 1,Enzyme modulator,770,0.359,0.885,0.043609,0.02,,1,2,0,2007,2008
Huntington Disease,C0020179,P4HB,5034,P07237,prolyl 4-hydroxylase subunit beta,,222,0.488,0.808,0.99662,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,MAPK11,5600,Q15759,mitogen-activated protein kinase 11,Kinase,25,0.695,0.462,0.00033565,0.02,,1,2,0,2017,2017
Huntington Disease,C0020179,TNFRSF11B,4982,O00300,TNF receptor superfamily member 11b,,443,0.422,0.808,0.16171,0.02,,1,2,0,2017,2019
Huntington Disease,C0020179,NTF4,4909,P34130,neurotrophin 4,Signaling,46,0.644,0.692,0.012031,0.02,,1,2,0,1998,2019
Huntington Disease,C0020179,EIF2AK2,5610,P19525,eukaryotic translation initiation factor 2 alpha kinase 2,Kinase,142,0.538,0.769,0.017643,0.02,,1,2,0,2001,2004
Huntington Disease,C0020179,NPY2R,4887,P49146,neuropeptide Y receptor Y2,G-protein coupled receptor,68,0.612,0.577,0.035526,0.02,,1,2,1,2014,2018
Huntington Disease,C0020179,PRNP,5621,F7VJQ1;P04156,prion protein,,426,0.445,0.923,0.00063182,0.02,,1,2,1,2001,2008
Huntington Disease,C0020179,MIR34A,407040,,microRNA 34a,,428,0.421,0.846,,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,PRKCA,5578,P17252,protein kinase C alpha,Kinase,368,0.44,0.846,0.3677,0.02,,1,2,0,2003,2014
Huntington Disease,C0020179,ATF7IP,55729,Q6VMQ6,activating transcription factor 7 interacting protein,,145,0.543,0.769,0.99993,0.02,,1,2,0,1995,2018
Huntington Disease,C0020179,DCTN4,51164,Q9UJW0,dynactin subunit 4,,253,0.472,0.846,0.73221,0.02,,1,2,0,2012,2015
Huntington Disease,C0020179,CCHCR1,54535,Q8TD31,coiled-coil alpha-helical rod protein 1,,193,0.505,0.808,1.01E-16,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,TREM2,54209,Q9NZC2,triggering receptor expressed on myeloid cells 2,,239,0.519,0.769,3.29E-09,0.02,,1,2,1,2018,2020
Huntington Disease,C0020179,ACP3,55,P15309,acid phosphatase 3,Enzyme,151,0.525,0.731,2.55E-16,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,PLAG1,5324,Q6DJT9,PLAG1 zinc finger,Transcription factor,219,0.493,0.808,0.99532,0.02,,1,2,0,2007,2007
Huntington Disease,C0020179,IFT57,55081,Q9NWB7,intraflagellar transport 57,Enzyme modulator,31,0.716,0.308,3.33E-10,0.02,,1,2,0,2008,2011
Huntington Disease,C0020179,PIN1,5300,Q13526,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",,212,0.488,0.769,0.74031,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,MTPAP,55149,Q9NVV4,mitochondrial poly(A) polymerase,Enzyme,104,0.581,0.769,0.99904,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,MEG3,55384,,maternally expressed 3,,239,0.471,0.846,,0.02,,1,2,0,2012,2018
Huntington Disease,C0020179,PRKAA1,5562,Q13131,protein kinase AMP-activated catalytic subunit alpha 1,Kinase,325,0.453,0.846,0.13725,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,IFNL4,101180976,K9M1U5,interferon lambda 4 (gene/pseudogene),,39,0.67,0.577,,0.02,,1,2,0,2018,2018
Huntington Disease,C0020179,PRKAA2,5563,P54646,protein kinase AMP-activated catalytic subunit alpha 2,Kinase,317,0.456,0.846,3.53E-08,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,PRKAB1,5564,Q9Y478,protein kinase AMP-activated non-catalytic subunit beta 1,Kinase,296,0.46,0.846,0.0052573,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,NGFR,4804,P08138,nerve growth factor receptor,Receptor,256,0.477,0.846,0.097889,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,NGF,4803,P01138,nerve growth factor,Signaling,616,0.391,0.885,0.82026,0.02,,1,2,0,2004,2017
Huntington Disease,C0020179,NF2,4771,P35240,neurofibromin 2,,312,0.468,0.885,1,0.02,,1,2,0,1994,1996
Huntington Disease,C0020179,MRC1,4360,P22897,mannose receptor C-type 1,,431,0.413,0.846,0.94335,0.02,,1,2,0,2014,2019
Huntington Disease,C0020179,MOK,5891,Q9UQ07,MOK protein kinase,Kinase,251,0.476,0.769,8.84E-22,0.02,,1,2,1,2010,2018
Huntington Disease,C0020179,GPR52,9293,Q9Y2T5,G protein-coupled receptor 52,G-protein coupled receptor,8,0.89,0.115,0.0095377,0.02,,1,2,0,2015,2018
Huntington Disease,C0020179,MMP2,4313,P08253,matrix metallopeptidase 2,Enzyme,1021,0.333,0.923,0.83878,0.02,,1,2,0,2003,2017
Huntington Disease,C0020179,MGP,4256,P08493,matrix Gla protein,,160,0.539,0.846,3.61E-05,0.02,,1,2,0,2006,2020
Huntington Disease,C0020179,ACE2,59272,Q9BYF1,angiotensin I converting enzyme 2,Enzyme,253,0.477,0.769,0.99769,0.02,,1,2,0,2017,2019
Huntington Disease,C0020179,MFAP1,4236,P55081,microfibril associated protein 1,Extracellular structure,357,0.431,0.846,0.79602,0.02,,1,2,0,2010,2012
Huntington Disease,C0020179,MAP3K5,4217,Q99683,mitogen-activated protein kinase kinase kinase 5,Kinase,170,0.513,0.808,0.51964,0.02,,1,2,0,2008,2009
Huntington Disease,C0020179,CYP46A1,10858,Q9Y6A2,cytochrome P450 family 46 subfamily A member 1,Enzyme,39,0.659,0.5,0.98552,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,REN,5972,P00797,renin,Enzyme,721,0.37,0.923,2.43E-07,0.02,,1,2,0,2017,2019
Huntington Disease,C0020179,MRPS30,10884,Q9NP92,mitochondrial ribosomal protein S30,,83,0.59,0.731,1.59E-08,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,PAPOLA,10914,P51003,poly(A) polymerase alpha,Nucleic acid binding,79,0.593,0.731,0.99998,0.02,,1,2,0,2015,2019
Huntington Disease,C0020179,PVALB,5816,P20472,parvalbumin,Calcium-binding protein,148,0.547,0.692,0.086602,0.02,,1,2,0,2013,2017
Huntington Disease,C0020179,CXCR6,10663,O00574,C-X-C motif chemokine receptor 6,G-protein coupled receptor,325,0.448,0.885,5.72E-05,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,KHDRBS1,10657,Q07666,"KH RNA binding domain containing, signal transduction associated 1",Nucleic acid binding,289,0.457,0.846,0.99423,0.02,,1,2,0,2012,2015
Huntington Disease,C0020179,ACKR3,57007,P25106,atypical chemokine receptor 3,G-protein coupled receptor,400,0.428,0.885,0.39134,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,CD28,940,P10747,CD28 molecule,,364,0.436,0.885,0.35779,0.02,,1,2,0,2005,2013
Huntington Disease,C0020179,TOMM40,10452,O96008,translocase of outer mitochondrial membrane 40,Transporter,113,0.59,0.538,0.99218,0.02,,1,2,0,2011,2017
Huntington Disease,C0020179,ADIPOQ,9370,Q15848,"adiponectin, C1Q and collagen domain containing",,679,0.376,0.885,4.64E-09,0.02,,1,2,0,2010,2018
Huntington Disease,C0020179,NCAM1,4684,P13591,neural cell adhesion molecule 1,,445,0.415,0.885,0.99999,0.02,,1,2,0,2007,2007
Huntington Disease,C0020179,ATG7,10533,O95352,autophagy related 7,Enzyme,179,0.505,0.769,7.38E-12,0.02,,1,2,1,2010,2013
Huntington Disease,C0020179,KL,9365,Q9UEF7,klotho,Enzyme,332,0.448,0.769,0.00022444,0.02,,1,2,0,2009,2019
Huntington Disease,C0020179,KIDINS220,57498,Q9ULH0,kinase D interacting substrate 220,,145,0.534,0.769,0.073562,0.02,,0.5,2,0,2018,2020
Huntington Disease,C0020179,MTHFR,4524,P42898,methylenetetrahydrofolate reductase,,985,0.337,0.885,3.21E-10,0.02,,1,2,2,2004,2006
Huntington Disease,C0020179,HACE1,57531,Q8IYU2,HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1,Enzyme,95,0.601,0.692,6.08E-06,0.02,,1,2,0,2014,2018
Huntington Disease,C0020179,STIM2,57620,Q9P246,stromal interaction molecule 2,,47,0.65,0.654,0.9906,0.02,,1,2,0,2018,2018
Huntington Disease,C0020179,NGB,58157,Q9NPG2,neuroglobin,Transporter,56,0.631,0.462,0.0045474,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,MAP2,4133,P11137,microtubule associated protein 2,,126,0.537,0.692,1,0.02,,1,2,0,2016,2017
Huntington Disease,C0020179,EGR1,1958,P18146,early growth response 1,Nucleic acid binding,378,0.433,0.923,0.3509,0.02,,1,2,0,1997,2017
Huntington Disease,C0020179,DECR1,1666,Q16698,"2,4-dienoyl-CoA reductase 1",Enzyme,399,0.426,0.885,4.47E-14,0.02,,1,2,0,2013,2017
Huntington Disease,C0020179,MSTN,2660,O14793,myostatin,Signaling,159,0.528,0.731,0.5052,0.02,,1,2,0,2017,2019
Huntington Disease,C0020179,MCF2L,23263,O15068,MCF.2 cell line derived transforming sequence like,Signaling,124,0.559,0.769,2.72E-07,0.02,,0.5,2,0,2018,2019
Huntington Disease,C0020179,METRN,79006,Q9UJH8,"meteorin, glial cell differentiation regulator",,14,0.78,0.346,0.094738,0.02,,1,2,0,2011,2012
Huntington Disease,C0020179,EDNRA,1909,P25101,endothelin receptor type A,G-protein coupled receptor,427,0.426,0.885,0.99158,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,GPR42,2866,O15529,G protein-coupled receptor 42 (gene/pseudogene),G-protein coupled receptor,255,0.475,0.846,0.050905,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,ALOX5,240,P09917,arachidonate 5-lipoxygenase,Enzyme,342,0.447,0.885,1.21E-06,0.02,,1,2,0,1998,2001
Huntington Disease,C0020179,CASP2,835,P42575,caspase 2,Enzyme,105,0.565,0.731,0.0015026,0.02,,1,2,0,2004,2019
Huntington Disease,C0020179,TSPO,706,P30536,translocator protein,,341,0.444,0.885,0.00027398,0.02,,1,2,0,2018,2018
Huntington Disease,C0020179,BRS3,680,P32247,bombesin receptor subtype 3,G-protein coupled receptor,261,0.474,0.846,0.94849,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,TIMP1,7076,P01033,TIMP metallopeptidase inhibitor 1,Enzyme modulator,603,0.38,0.885,0.4993,0.02,,1,2,0,2017,2020
Huntington Disease,C0020179,TTR,7276,P02766,transthyretin,Transporter,461,0.423,0.885,0.51566,0.02,,1,2,1,2018,2018
Huntington Disease,C0020179,PHGDH,26227,O43175,phosphoglycerate dehydrogenase,Enzyme,288,0.484,0.885,0.00013308,0.02,,1,2,0,2010,2012
Huntington Disease,C0020179,SSTR4,6754,P31391,somatostatin receptor 4,G-protein coupled receptor,273,0.469,0.846,3.70E-13,0.02,,1,2,0,1996,2010
Huntington Disease,C0020179,ZBTB16,7704,Q05516,zinc finger and BTB domain containing 16,Transcription factor,154,0.545,0.808,0.99907,0.02,,1,2,0,2018,2019
Huntington Disease,C0020179,NUP62,23636,P37198,nucleoporin 62,Transporter,273,0.47,0.885,0.95006,0.02,,1,2,0,2012,2015
Huntington Disease,C0020179,RLS1,192142,,"Restless legs syndrome, susceptibility to",,37,0.705,0.423,,0.02,,1,2,0,2018,2018
Huntington Disease,C0020179,CALB2,794,P22676,calbindin 2,Calcium-binding protein,124,0.545,0.692,4.54E-07,0.02,,1,2,0,2012,2018
Huntington Disease,C0020179,AGO2,27161,Q9UKV8,argonaute RISC catalytic component 2,,186,0.501,0.885,1,0.02,,1,2,1,2018,2018
Huntington Disease,C0020179,FOXP1,27086,Q9H334,forkhead box P1,,317,0.46,0.808,0.99998,0.02,,1,2,0,2012,2017
Huntington Disease,C0020179,RASD2,23551,Q96D21,RASD family member 2,,11,0.76,0.308,0.53733,0.02,,1,2,0,2011,2019
Huntington Disease,C0020179,TYMS,7298,P04818,thymidylate synthetase,Enzyme,406,0.425,0.846,0.72247,0.02,,1,2,0,2017,2018
Huntington Disease,C0020179,AHSG,197,P02765,alpha 2-HS glycoprotein,Enzyme modulator,204,0.506,0.846,3.21E-10,0.02,,1,2,1,2007,2017
